cat_1,cat_2,cat_3,cat_4,day,month,target
0,Red,Trapezoid,Big,6,3,-0.3435633633
1,Red,Star,Big,7,7,-2.015234584
0,Red,,Big,5,9,4.260064568
,Red,Circle,Small,3,3,3.463972529
0,Red,Triangle,Big,5,12,-3.730371275
0,Red,Triangle,Average,3,4,0.166534381
0,Red,Triangle,Small,5,6,1.840994894
0,Red,Triangle,Big,1,1,1.390125218
0,Blue,Polygon,Small,6,3,-4.015728317
0,Red,Polygon,Big,1,8,3.703882168
0,Blue,Triangle,Small,7,5,4.605190445
0,Red,Square,Small,2,8,-2.098105992
0,Red,Circle,Big,3,5,-2.470681963
0,Blue,Trapezoid,Big,6,3,3.988556834
0,Red,Polygon,Average,2,8,-4.609218874
1,Red,Polygon,Average,1,11,1.899197562
0,Red,Triangle,Small,6,7,0.8823001743
,Red,Trapezoid,Big,7,5,-2.617714831
1,Red,Circle,Big,,3,6.028700596
0,Red,Triangle,Small,6,12,-0.2757922648
0,Blue,Triangle,Big,7,11,6.472195933
1,Red,Triangle,Big,7,8,2.240646667
0,Green,Circle,Average,5,12,2.841221542
0,Red,Polygon,Small,4,,1.507101623
0,Red,Circle,Small,6,4,1.382456258
0,Blue,Circle,Small,3,3,0.9724241993
0,Blue,Circle,Big,2,11,-0.4069124494
0,Red,Circle,Small,5,8,3.890810168
0,Green,,Small,7,4,0.4765100492
0,Blue,Square,Small,5,8,3.077097908
0,Red,Circle,Average,5,5,-1.150069616
0,Red,Triangle,Average,5,8,-1.574913142
0,Red,Triangle,Big,1,3,2.818072535
0,Red,Triangle,Small,2,10,-1.327020397
1,Blue,Circle,Small,5,5,-2.886540063
,Blue,Circle,Big,,11,2.348028467
0,Blue,Polygon,Average,1,11,-2.689918066
0,Blue,Polygon,Big,6,8,0.6054394055
0,Blue,Circle,Big,7,1,2.061126776
0,Red,Square,Big,5,12,-1.517348079
0,Red,Heart,Small,6,5,-1.722045219
0,Red,Polygon,Big,7,3,3.900994824
0,Green,Polygon,Small,1,4,-0.882129687
0,Red,Triangle,Small,7,1,3.29495123
0,Green,Triangle,Big,1,8,0.604583552
0,Red,,Small,3,1,6.332835068
0,Red,Polygon,Big,3,5,7.178217207
0,Green,Triangle,Small,5,8,0.8243760268
0,Red,Trapezoid,Average,1,,-0.7400241727
0,Red,Trapezoid,Small,1,1,-1.93763215
0,Red,Trapezoid,Big,7,3,3.512316972
1,Red,Triangle,Small,1,8,3.582134282
0,,Circle,Average,7,5,0.770752249
0,Blue,Polygon,Big,3,6,-3.076370707
0,Blue,Triangle,,6,1,-0.6852678779
0,Red,Square,Small,3,4,0.9259284818
0,Blue,Trapezoid,Average,2,3,2.801318364
0,Red,Triangle,Big,3,3,-2.633486056
0,Red,Polygon,Small,6,2,-1.581550254
0,Blue,Circle,Small,5,8,-0.9345270333
0,Red,Trapezoid,Small,5,7,-1.640905425
0,Red,Triangle,Big,5,11,0.3547185174
0,Red,Trapezoid,Average,7,8,0.1591870335
1,Blue,Square,Big,3,8,-0.3876160907
0,Red,Triangle,Big,5,11,-0.2613663397
0,Red,Triangle,Average,1,7,0.9879885311
0,Red,Triangle,Small,2,5,3.082464745
0,Blue,Polygon,Average,5,3,6.052019508
0,Blue,Triangle,Average,5,11,0.3434543738
0,Blue,Square,Small,2,5,7.317396114
0,Red,Polygon,Average,3,11,-1.342700279
0,Blue,,Small,1,1,-0.4234769303
0,Red,Polygon,Small,7,8,3.675153047
0,Green,Circle,Average,3,6,-1.425223349
0,Red,Square,Big,3,12,6.259309591
0,Green,Triangle,Small,5,12,2.624593678
0,Blue,Polygon,Average,5,1,3.692077811
1,Red,Trapezoid,Big,2,,4.237260187
0,Red,Trapezoid,Small,1,1,-0.8229480826
,Blue,,Big,4,5,-2.671219001
,Red,Trapezoid,Big,3,,-3.452853083
0,Red,Polygon,Big,6,12,3.372632061
0,Red,Polygon,Small,,1,2.373501738
0,,Trapezoid,Small,4,11,0.07658622833
1,Red,Star,Average,7,,3.232465551
0,Red,,Big,3,8,-2.25541767
0,Blue,Circle,Small,6,11,2.787562623
0,Blue,Trapezoid,Big,1,5,-6.361236795
0,Red,Circle,Big,7,7,0.2501245118
0,Red,Triangle,Big,5,1,-0.5530637671
0,Red,Circle,Average,1,1,-0.3544134492
0,Red,Star,Small,1,12,-2.500009052
0,Red,Circle,Small,,7,2.804081347
0,Red,Triangle,Big,1,6,5.957167692
0,Blue,Polygon,,3,1,9.922923018
0,Green,Trapezoid,Small,3,7,-1.137471223
0,Red,Trapezoid,Big,5,1,5.827867607
0,Red,Polygon,Average,2,9,-1.105139609
0,Red,Trapezoid,Average,6,5,3.05971432
0,Red,Trapezoid,Small,5,5,-0.5745428597
0,,Triangle,Big,5,8,2.202111385
0,Red,Triangle,Small,7,2,-0.4052109669
0,Blue,Polygon,Average,4,11,3.380712731
0,Red,Trapezoid,Average,5,1,-0.9177096156
0,Red,Triangle,Big,6,6,2.139077113
0,Blue,Polygon,Small,2,7,0.7751261007
0,Red,Circle,Small,5,11,1.188812229
,Red,Triangle,Small,1,10,1.911464793
0,Green,Trapezoid,Small,1,11,5.77436787
0,Blue,,Average,1,8,2.655238348
0,Blue,Trapezoid,Big,3,5,-0.345257261
0,Red,Polygon,Average,3,,0.5552872191
0,Blue,,Small,3,1,2.35406724
0,Red,Polygon,Small,2,8,-1.03840576
0,Blue,Polygon,Big,5,11,1.525386107
0,Green,Triangle,Average,5,5,0.7975185554
0,Blue,Heart,Small,5,8,0.8328604893
0,Blue,Trapezoid,Small,,5,-0.9072347364
1,Green,Polygon,Average,7,5,2.14250004
0,Red,Polygon,Small,2,2,2.145524509
0,Red,Triangle,Big,2,12,2.726351149
1,Red,Trapezoid,Small,4,12,-0.3340833681
0,Red,Triangle,Big,6,7,1.963486624
0,Green,Triangle,Small,2,3,1.643458289
0,Blue,Triangle,Average,7,7,0.5995591019
0,Red,Polygon,Small,3,11,1.479998671
0,Red,Polygon,Small,2,,4.832590133
0,Blue,Trapezoid,Small,1,8,-1.125879787
0,Green,Polygon,,5,4,0.3858522763
0,Red,Triangle,Small,1,11,1.486520405
0,Red,Polygon,Average,6,5,0.5565025309
1,Red,Trapezoid,Big,1,9,4.409251372
0,Blue,Circle,Big,7,8,-3.623152084
0,Red,Triangle,Big,7,8,2.287341627
0,Red,Triangle,Small,4,3,1.380895813
1,Blue,Trapezoid,Small,5,,8.167699677
0,Red,Polygon,Small,7,9,4.531758624
0,Red,Circle,Small,3,5,0.6674091507
0,Red,Heart,Average,7,7,0.8234250176
0,Red,Circle,Big,2,3,5.036382366
0,Red,Triangle,Average,6,9,6.189965333
0,Blue,Polygon,Average,3,1,-3.408888945
0,Blue,Polygon,Average,6,3,-0.6920050669
0,Red,Triangle,Big,7,11,-4.349673862
0,Red,Triangle,Average,1,6,-3.422577985
0,Red,Polygon,Big,6,12,-0.8938350514
0,Red,Trapezoid,Big,3,12,-0.8038806704
0,Red,Circle,Small,6,5,-2.450078674
1,Blue,Triangle,Big,4,8,1.696581633
0,Blue,Trapezoid,Average,1,8,-0.3659743155
0,Blue,Circle,Average,3,11,-3.261466817
0,Red,Trapezoid,Small,5,1,0.5290890836
0,Red,Polygon,Small,7,,-0.1213104185
0,Blue,Trapezoid,Big,3,6,0.8027577618
0,Red,Trapezoid,Average,3,11,0.3468992324
0,,Trapezoid,Small,5,2,0.8854477991
1,Blue,Triangle,Big,3,1,3.774340615
0,Red,Trapezoid,Big,5,5,6.838179761
0,Red,Triangle,Big,1,6,-0.03914917057
1,Green,Circle,Average,6,10,8.608821228
0,Red,Triangle,Average,6,5,-0.7952546114
0,Red,,Small,2,6,-1.578785977
0,Red,Triangle,Small,3,11,2.273392612
0,Red,Polygon,Small,6,7,2.114684032
0,Red,Triangle,Small,1,1,3.928095791
0,Red,Triangle,Small,1,8,-2.266785949
0,Blue,Triangle,,,12,-1.335189588
0,Red,Triangle,Average,6,4,10.02600176
0,Red,Circle,Average,5,6,3.724651776
0,Red,Triangle,Small,1,5,0.09625123245
0,Red,Polygon,Big,3,12,1.91157207
0,Green,Polygon,Big,1,5,3.988771716
0,Red,Circle,Average,6,5,4.057420942
0,Red,Circle,Big,2,2,-5.346653444
0,Red,Triangle,Big,3,6,-0.9871956594
1,Red,Polygon,Average,1,3,-1.004079395
,Red,Triangle,Big,7,1,5.945981818
0,Green,Polygon,Average,7,,3.644842214
0,Red,Polygon,Big,1,11,4.932259555
0,Red,Trapezoid,Big,3,6,-1.725382806
0,Red,Circle,Big,1,7,2.576296688
0,Red,Circle,Average,7,7,-0.6076614216
0,Red,,Average,7,8,4.742791179
0,Red,Circle,Average,3,3,-0.3559921698
,Blue,Triangle,Small,4,1,1.078104895
0,Green,Square,Small,2,5,5.613437889
0,Blue,Triangle,Small,3,1,5.863609834
0,Green,Triangle,Big,3,12,-2.329400547
0,Red,Triangle,Big,6,8,3.824635851
1,Red,Polygon,Big,1,12,2.516729325
0,Blue,Triangle,Small,2,5,-2.676008415
0,,Star,Average,5,11,2.958063076
0,Blue,Triangle,Small,7,2,0.9819629108
0,Red,Polygon,Small,7,2,6.501153489
0,Red,Trapezoid,Big,3,3,-0.9590175587
0,Blue,Star,Big,7,3,5.836272748
0,Blue,Circle,Small,2,8,3.086963455
0,Red,Circle,Small,5,2,-2.851388473
0,Red,Circle,,2,8,-3.101937573
1,Red,Triangle,Average,7,3,-3.764973054
0,Red,Circle,Big,5,3,5.851807009
0,,Polygon,Average,7,1,1.344392027
0,Red,Square,Average,1,3,2.378080551
0,Green,Triangle,Small,1,9,-1.806397617
0,Red,Triangle,Big,6,5,5.811152028
0,Red,Triangle,Big,6,3,4.965132314
0,Red,,Big,3,6,1.429577344
0,Blue,Triangle,Small,7,6,-0.5176425632
0,Red,Polygon,Big,4,8,-1.824190959
0,Red,Polygon,Average,5,1,0.6003733108
0,Red,Triangle,Small,2,1,1.813921966
0,Red,Triangle,Big,6,5,0.4563785241
0,Blue,Polygon,Big,5,6,1.541438188
0,Red,Circle,Big,,,0.7325346641
,Red,Trapezoid,,1,12,6.035872082
1,Red,Circle,Big,6,3,4.647950852
0,Red,Star,Small,3,,-0.5644542899
0,Red,Polygon,Small,6,5,7.735668685
0,,Trapezoid,Average,4,11,-0.6588122841
0,Green,Triangle,Big,3,12,4.632501749
0,Blue,Trapezoid,Big,6,5,4.977657614
0,Red,Trapezoid,Big,7,,1.487694558
0,Red,Trapezoid,Big,3,7,-2.865141422
0,Red,,Big,5,12,5.328863249
0,Red,Triangle,Small,7,4,5.59927229
,Red,Trapezoid,Average,6,3,0.3939136864
1,Blue,Trapezoid,Average,7,11,-2.308618016
0,Green,Trapezoid,Average,7,5,5.920575458
0,Red,Triangle,Small,5,1,-1.945105552
0,Green,Triangle,Big,2,9,6.569241096
0,Red,Triangle,Small,5,6,3.554199787
0,Red,Polygon,Average,1,12,0.8753749844
,Red,Circle,Average,1,2,9.718417471
0,Red,Trapezoid,Average,2,8,-0.06774737287
0,Blue,Trapezoid,Average,4,11,-2.743680339
0,Red,Trapezoid,Average,7,1,5.651370695
1,Blue,Triangle,Small,6,5,1.744578712
1,Red,Triangle,,1,6,6.971952345
1,Red,Polygon,Average,6,8,2.225455784
0,Blue,Circle,Small,7,3,0.5039111934
0,Red,Star,Average,3,12,1.343653517
0,Red,Polygon,Small,6,12,2.975360523
0,Blue,Trapezoid,Average,3,11,4.641964596
0,Red,Square,Small,4,9,6.492700288
0,Green,Trapezoid,Big,7,3,1.811815634
0,,Triangle,Average,,9,-4.155051254
0,,Trapezoid,Big,6,6,-1.95234886
0,Red,Trapezoid,Small,5,6,-2.598548848
0,Red,Triangle,Small,2,3,-0.1643557215
0,Red,Triangle,Big,5,5,2.620691463
0,Red,Circle,Big,3,12,5.066389781
0,Blue,Trapezoid,Big,1,3,5.119914332
0,Red,Triangle,Average,3,3,1.870878879
0,Red,Triangle,Small,5,3,-0.6934215389
1,Red,Trapezoid,Big,5,,4.738931793
1,Blue,Square,Small,6,6,2.120920481
0,Red,Trapezoid,Average,1,11,-3.162273117
0,Red,Circle,Small,3,7,-0.3366098106
,Red,Polygon,Average,7,4,-0.8889581671
1,Red,Polygon,Big,3,8,2.635844577
0,Green,Polygon,Average,5,3,5.244837848
0,Blue,Trapezoid,Average,7,1,3.095381052
0,Blue,Triangle,Average,5,5,4.644731244
1,Red,Square,Average,7,11,4.1096116
0,Blue,Triangle,Small,6,1,-0.7599543818
1,Red,Polygon,Average,4,8,-1.784150345
1,Blue,Trapezoid,Average,6,6,6.621990666
0,Blue,Triangle,Big,2,3,1.415104944
0,Green,Circle,,3,7,0.5395936746
0,Red,Square,Average,7,12,2.590803418
0,Red,Circle,Small,,6,4.20532795
0,Blue,Trapezoid,Small,2,12,5.99829972
0,Blue,Trapezoid,Small,7,8,3.241985483
0,Red,Triangle,Big,1,2,0.4850103875
0,Green,Circle,Average,7,3,-0.4013816467
0,Red,Triangle,Big,1,1,0.2072217125
0,Red,Star,Big,1,5,3.121359693
0,Blue,Triangle,Big,3,9,-0.3273021993
0,Red,Polygon,Average,6,6,0.5557201603
0,Red,Polygon,Small,5,6,-1.489509022
1,Red,Triangle,Big,1,5,4.81042957
0,Red,Triangle,Small,6,4,0.7795210558
