,article_title,is_ecology
321,Stations essence à Saint-Jean-Trolimon : les meilleurs prix près de chez moi aujourd'hui,0
414,"Toulouse : Après une embrouille, il percute une voiture avant de tirer sur ses occupants et prendre la fuite",0
2104,"Kopp Johnson, l'auteur de ""Gilet Jaune"", revient avec un nouveau son sur la réforme des retraites",0
699,Brésil : Carlo Ancelotti aurait dit oui à la Seleçao,0
1279,"IBS of Provence, cette école internationale qui séduit les familles d'expatriés",0
146,Faut-il faciliter l’installation de nouvelles centrales nucléaires en France ?,1
1709,Marseille : FO peut-il perdre la main sur la ville,0
2059,Centres de santé bon marché : les députés votent une loi pour lutter contre les abus,0
818,"À Saint-Avé, le concert « La grande folie » a fait salle comble",0
1558,FC Lorient. Des Merlus en manque de muscle à Marseille,0
1688,Bandes rivales: comprendre le phénomène en moins de 2 minutes,0
1029,« Interdisons les herbicides en AOC champagne »,1
57,Stations essence à Bannalec : les meilleurs prix près de chez moi aujourd'hui,0
1072,La Russie occupe toujours 18 % du territoire ukrainien,0
444,"Prix de la consultation, attractivité... Les raisons derrière la grève des médecins libéraux",0
2236,Grèves: 18% des stations-service en difficulté dans les Bouches-du-Rhône,0
337,"Louis de Funès, un acteur toujours aussi culte, quarante ans après sa mort",0
2406,"Ce répéteur Wi-Fi fait un carton sur ce site, les soldes font chuter le prix",0
1086,Le gouvernement espagnol supprime la TVA sur les denrées de première nécessité,0
3,«La lutte contre la déforestation est le moyen le moins coûteux pour lutter contre le changement climatique»,1
2419,"Marine Tondelier (EELV): ""On ne débat pas juste des retraites, on débat d'une forme de mépris social""",0
2066,"Alsace Business du mardi 13 décembre - La marque Alsace a 10 ans, un label régional",0
1748,"Aux Etats-Unis, l'un des nouveaux métiers en vogue consiste à lutter contre les burn-out des employés",0
1385,«Deux regards sur des mondes disparus» – la critique de Bernard Quiriny,0
1432,Le gouverneur de la banque centrale de Slovaquie visé par des accusations de corruption-presse,0
1831,"Aurélien Pradié, un vice-président très libre chez Les Républicains",0
977,"Izo FitzRoy victime de la grève des transports, le concert briochin annulé",0
1133,"Météo Nord-Pas-de-Calais: des averses attendues cet après-midi, jusqu'à 7°C à Lille",0
1254,Procès d'un féminicide à Ajaccio: les enregistrements de la victime ont été diffusés dans la salle d'audience,0
1491,"Cyclisme - UAE Tour (Femmes) - « Vaut mieux ne pas être dans sa roue » : Lorena Wiebes, terreur du sprint",0
2088,Réforme des retraites: une forte mobilisation mais le temps joue pour l'exécutif,0
2155,"Cévennes : Au mont Aigoual, où le mercure flambe, on vit « une explosion climatique »",1
1449,L'excellente TV The Frame profite d'une offre folle et ça se passe sur le Shop Samsung,0
544,"Sports d'hiver : la station de Saint-Lary, dans les Hautes-Pyrénées, en ébullition avant l'ouverture",0
2117,Google Maps s’adapte un peu plus aux conducteurs de voitures électriques,1
1356,Peut-on vraiment être télépathe?,0
1576,Un avion militaire chinois vole à moins de trois mètres d'un avion de l'armée américaine,0
2274,"États-Unis: une voiture chute d'une falaise de plus de 70 mètres, les quatre occupants s'en sortent indemnes",0
1250,Ballons espions ou pub de U2: l'annonce du retour du groupe sur scène amuse les internautes,0
